id;type;geometry_name;geometry_type;geometry_coordinates;Longitude;Latitude;Satélite;País;Estado;Município;Datetime;Risco de Fogo;Precipitação;Dias sem Chuva;Data;Hora
focos_ams_24h.9b859d85-f21f-3735-a778-e0ec45f58b7c;Feature;geom;Point;[-90.8672, -0.9033];-90,8672;-0,9033;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:11-03:00;;;;28/03/2023;14:45:11
focos_ams_24h.e8817cfc-a640-37c7-887c-2938e3e9c3bd;Feature;geom;Point;[-91.0771, -0.7027];-91,0771;-0,7027;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:10-03:00;;;;28/03/2023;14:45:10
focos_ams_24h.ed0df12b-5e1e-3429-a362-fa3f110244e1;Feature;geom;Point;[-91.0579, -0.7026];-91,0579;-0,7026;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:10-03:00;;;;28/03/2023;14:45:10
focos_ams_24h.02d0eb2b-971e-379f-96a3-7e40bf5bdc5f;Feature;geom;Point;[-90.2732, -0.5016];-90,2732;-0,5016;GOES-16;Ecuador;Galápagos;Santa Cruz;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.c23085ea-017c-3bde-a27f-10eaf79ac8fd;Feature;geom;Point;[-90.9804, -0.4653];-90,9804;-0,4653;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.15ed4211-6b74-3ef8-95de-24aed9135387;Feature;geom;Point;[-90.9805, -0.5201];-90,9805;-0,5201;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.89881aca-2042-3b9a-81bf-50a19acb5b94;Feature;geom;Point;[-90.9613, -0.4836];-90,9613;-0,4836;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.dc7753fe-3d9f-35a9-b0bc-33717a9aec64;Feature;geom;Point;[-90.9805, -0.5018];-90,9805;-0,5018;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.a9f8fbd5-6bce-3e0e-a0f9-aa867c03837c;Feature;geom;Point;[-91.4413, -0.4838];-91,4413;-0,4838;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.6eb8d0cd-ce5b-3a60-a804-553ba76a3b36;Feature;geom;Point;[-90.9807, -0.5748];-90,9807;-0,5748;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.72fe8434-b248-3f1c-b135-be0f80be7ab6;Feature;geom;Point;[-90.9043, -0.6296];-90,9043;-0,6296;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.3dee47fb-1b7d-3131-8673-aa43592f1738;Feature;geom;Point;[-91.4605, -0.4838];-91,4605;-0,4838;GOES-16;Ecuador;Galápagos;Isabela;2023-03-28 14:45:09-03:00;;;;28/03/2023;14:45:09
focos_ams_24h.de7b1a15-bb72-38a3-b3bb-1e066e4bf49c;Feature;geom;Point;[-90.559, -0.301];-90,559;-0,301;GOES-16;Ecuador;Galápagos;Santa Cruz;2023-03-28 14:45:08-03:00;;;;28/03/2023;14:45:08
focos_ams_24h.e708bde2-1ef0-3c70-84bc-b35dc80afb04;Feature;geom;Point;[-90.559, -0.3192];-90,559;-0,3192;GOES-16;Ecuador;Galápagos;Santa Cruz;2023-03-28 14:45:08-03:00;;;;28/03/2023;14:45:08
focos_ams_24h.374e7a92-5eec-357d-bf3f-b9d91fa734a5;Feature;geom;Point;[-90.5781, -0.3192];-90,5781;-0,3192;GOES-16;Ecuador;Galápagos;Santa Cruz;2023-03-28 14:45:08-03:00;;;;28/03/2023;14:45:08
